Road,FirstLetter,Walk,Zone,Notes
TULIP WALK,T,36,36,
TUNSTALL ROAD,T,12,12,
TURNER CLOSE,T,29,29,
"TURRETS, THE",T,6,6,
TYLDEN GARDENS,T,61,61,
TYLDEN HOUSE,T,27,27,
UFTON LANE,U,13,13,
UNITY STREET,U,12,12,
UPPERFIELD ROAD,U,69,69,
VALENCIENNES ROAD,V,12,12,
VAUGHAN DRIVE,V,29,29,
VECTIS DRIVE,V,29,29,
VELLUM DRIVE,V,32,32,
VENUS CLOSE,V,70,70,
VICARAGE ROAD,V,27,27,
VICTORIA MEWS,V,6,6,
VICTORIA ROAD,V,18,18,
VICTORIA TERRACE,V,18,18,
VINCENT ROAD,V,4,4,
VINERS CLOSE,V,8,8,
VIOLET COURT,V,36,36,
VOLANTE DRIVE,V,26,26,
VULCAN CLOSE,V,70,70,
WADHAM PLACE,W,6,6,
"WALL, THE",W,68,68,
WALMER GARDENS,W,20,20,
WALNUT COURT,W,23,23,
WALNUT TREE DRIVE,W,21,21,
WALSBY DRIVE,W,28,28,
WARREN CLOSE,W,3,3,
WARWICK CRESCENT,W,20,20,
WATERCRESS ROAD,W,40,40,
WATERLOO ROAD,W,18,18,
WATERMARK HOUSE,W,32,32,
WATERMILL MEWS,W,23,23,
WATERVIEW BUSINESS PARK,W,69,69,
WATLING PLACE,W,33,33,
WATLING SQUARE,W,40,40,
WATSONS HILL,W,23,23,
WEALD COURT,W,13,13,
WELLINGTON ROAD,W,21,21,
WELLS HOUSE,W,1,1,
WELLWINCH ROAD,W,18,18,
WENTWORTH DRIVE,W,21,21,
WENTWORTH HOUSE,W,21,21,
WEST GREEN,W,30,30,
WEST LANE,W,6,6,
WEST LANE TRADING ESTATE,W,69,69,
WEST RIDGE,W,13,13,
WEST STREET,W,9,9,
WESTERHAM ROAD,W,16,16,
WESTLANDS AVENUE,W,21,21,
WHEATCROFT CLOSE,W,2,2,
"WHIBLEY MEWS, PARRETT AVE",W,59,59,
WHIMBREL CLOSE,W,29,29,
WHITE HART MEWS,W,23,23,
WHITEHALL COURT,W,10,10,
WHITEHALL ROAD,W,10,10,
WIHTRED ROAD,W,40,40,
WILD ASH CROFT,W,1,1,
WILLIAM STREET,W,9,9,
WILLOW HOUSE,W,4,4,
"WILLOWS, THE",W,30,30,
WILTON TERRACE,W,21,21,
WINDERMERE GROVE,W,16,16,
WINDMILL RD,W,25,25,
WINDSOR DRIVE,W,13,13,
WINGATE COURT,W,16,16,
WISES LANE,W,17,17,
WISES OAST,W,17,17,
WOODBERRY DRIVE,W,4,4,
"WOODCOOMBE MEWS, CHURCH RD",W,1,1,
WOODCOURT CLOSE,W,12,12,
WOODLANDS ROAD,W,33,33,
WOODSIDE GARDENS,W,13,13,
WOODSTOCK ROAD,W,12,12,
WOOLLETT ROAD,W,21,21,
WORCESTER DRIVE,W,25,25,
WOVE ROAD,W,32,32,
WRENS ROAD,W,19,19,
WYKEHAM ROAD,W,1,1,
WYVERN CLOSE,W,27,27,
YARNTON LODGE,Y,40,40,
YEATES DRIVE,Y,28,28,
YPRES DRIVE,Y,30,30,
